,기업명,업종분류,사원수,설립연도,기업형태,매출액,주소,직무,자격요건,직급,이용하는기술스택/우대사항,해당 페이지 URL,기업 홈페이지 URL,수요
142,리콘랩스,시스템 소프트웨어 개발 및 공급업,40.0,2019.0,중소기업,29179.0,서울특별시 강남구,소프트웨어 엔지니어,"그래픽스,비전,비전관련분야박사,박사,학위,석사,석사이후3년,데이터,좌표계,좌표계처리경험,분야논문이해,논문,응용,응용능력,기초연구,연구,Ddomain,Vision,GraphicsAI",3,"학회,저널,저자,프로젝트,소프트웨어,엔지니어,엔지니어링,역량,모델,수정,프로세스,기업문화적합,Computer Vision,Graphics,CVPR,ICCV,NIPS,SIGGRAPH,Implicit Neural Representation,NeRF,D Reconstruction,Geneartive AI,Multi,modal AI,Reinforcement Learning",https://www.wanted.co.kr/wd/111563,https://reconlabs.kr/,
143,다보링크,기타 무선 통신장비 제조업,86.0,2000.0,중소기업,6346122.0,경기도 안양시 동안구,소프트웨어 엔지니어,"언어사용가능,소프트웨어,소프트웨어개발경험,C,EmbeddedLinux",1,"네트워크,지식,TCP,IP",https://www.wanted.co.kr/wd/163694,www.davolink.co.kr,
144,이노버스,화장품 및 화장용품 도매업,8.0,2020.0,중소기업,353631.0,서울특별시 영등포구,소프트웨어 엔지니어,"개발경력3년,서비스개발경험자,JavaSpring,SpringBoot,AWS",3,"전공자,백엔드,엔드,목표,책임,코드리뷰,대용량,트래픽,대응,IT,Java,Python,JS,RESTful API,Open API",https://www.wanted.co.kr/wd/159459,www.inobus.co.kr,
145,코비그룹,응용 소프트웨어 개발 및 공급업,,2018.0,,258345.0,서울특별시 강남구,소프트웨어 엔지니어,"광고,광고플랫폼개발경험,플랫폼,이해필수,프레임워크,한개발경험,관리,관리경험,테이블,테이블설계,최적화,백업,복구,기본적인관리,기본명령어,명령어,스크립트,협업능력,AD,Tech,Java,Kotlin,Spring,JPA,AWS,EC,S,CloudFront,RDS,MySQLDB,Linux",5,"대용량,처리,TDD",https://www.wanted.co.kr/wd/135374,www.covi.co.kr,
146,백금티앤에이,기타 무선 통신장비 제조업,60.0,1996.0,중소기업,6330887.0,경기도 군포시,소프트웨어 엔지니어,"개발관련경력자,C,C,PythonProgamming,Firmware,Android,iPhoneApp",2,"공학과,박사,학위,자격증,차량,블랙박스,경력자,AWS Certification,DashCam,Computer vision,Embedded Linux,OpenCV,ADAS,DMS,DSP,FW",https://www.wanted.co.kr/wd/98805,www.bgtna.com,
147,가온브로드밴드,유선 통신장비 제조업,142.0,2020.0,중견기업,23493281.0,경기도 성남시 분당구,소프트웨어 엔지니어,"프로그래밍개발자,임베디,C,C,Linux,RTOS,SW",3,"AP Router,Network switch,Network SoC",https://www.wanted.co.kr/wd/65954,www.kaonbroadband.com,
148,인포그랩,시스템 소프트웨어 개발 및 공급업,,2020.0,,186679.0,경기도 성남시 분당구,소프트웨어 엔지니어,"협업방식,소프트웨어,소프트웨어개발관행,기초지식,관련경험,엔지니어,엔지니어링,퍼블릭,퍼블릭스피치,스피치,유투브컨텐츠제작,투브,컨텐츠,DevOps,DevOps",5,"백엔드,엔드,보안,쿠버,티스,솔루션,자격증,로그,유투",https://www.wanted.co.kr/wd/138512,insight.infograb.net,
149,인포그랩,시스템 소프트웨어 개발 및 공급업,,2020.0,,186679.0,경기도 성남시 분당구,소프트웨어 엔지니어,"자동화,파이프,파이프라인,퍼블릭,프라이빗,클라우드,클라우드환경,서비스구성,CI,CD,Docker,Kubernetes",1,"소프트웨어,쿠버,티스,솔루션,자격증,로그,유튜브",https://www.wanted.co.kr/wd/108741,insight.infograb.net,
150,휴먼아이씨티,응용 소프트웨어 개발 및 공급업,22.0,2011.0,중소기업,220373.0,서울특별시 강남구,소프트웨어 엔지니어,"직무수행,경력보유자,수무,수무관,테스킹경력,운전,지방,지방출장,출장,OS,Linux,Windows,SQL",1,"솔루션,경력자,보안,보안관제,디버그,버그,데이터,로그,결함,오류,분석,체계적,AI,IT,TS,CCTV,Python,Java",https://www.wanted.co.kr/wd/149429,www.hictc.com,
151,아이투맥스,시스템 소프트웨어 개발 및 공급업,191.0,2003.0,중소기업,2710529.0,서울특별시 마포구,소프트웨어 엔지니어,"프로젝트,프로젝트수행경험,Salesforce",1,"솔루션,자격증,커뮤니케이션,역량,Salesforce,Salesforce",https://www.wanted.co.kr/wd/132031,www.i2max.co.kr,
152,한국포인트거래소,컴퓨터 프로그래밍 서비스업,,2021.0,,,서울특별시 강남구,소프트웨어 엔지니어,"3년이상관련,1년이상운영,연동경험3,개발경험자,API,Node,js,React,Typescript",3,"블록,블록체인,체인,크립토,프로젝트,Web",https://www.wanted.co.kr/wd/109154,www.kpxdx.com/,
153,쉬모스랩,시스템 소프트웨어 개발 및 공급업,9.0,2017.0,중소기업,22833.0,서울특별시 강남구,소프트웨어 엔지니어,"이공계,전공무관,공무,학사이상,머신,머신러닝,컴퓨터비전,비전,논문,침착,리눅스,리눅스개발환경,기본적인개발도구,협업도구,여유,Git,Docker",1,"모델,머신러닝,딥러닝,프로덕트,최적화,국제학술대회,논문,석사,석사학위,학위,SW,Object Detection,Recognition,Segmentation,Inference",https://www.wanted.co.kr/wd/127278,www.schmosslab.com,
154,마켓디자이너스,온라인 교육 학원,80.0,2017.0,중소기업,896636.0,서울특별시 강남구,소프트웨어 엔지니어,"개발경험2년,웹사이트,웹사이트개발경험,활용능력,기본적지식,목표,달성,Front,end,TypeScript,React,JavaScript,HTML,CSS",2,"예측,파악,솔루션,하이브리드,앱,반응형,웹,프레임워크,시용기간,구성원,조직문화,핵심가치,책임감,역량,진보,변화,도전,성장,목표,업계,전문,소통,다양성,추진력,외국어,글로벌,테크,플랫폼,크루,디지털,교육경험,혁신,Next,js,Interview Process,Core Value,Accountability,Progress,Professionalism,Team work,Mission,Vision,Misson,Vision,AI",https://www.wanted.co.kr/wd/206214,marketdesigners.com,
155,데이오프컴퍼니,응용 소프트웨어 개발 및 공급업,,2022.0,,0.0,서울특별시 강남구,소프트웨어 엔지니어,"서비스개발,형태모바일앱,서버시스템구축,능동적,팀문화,Spring,boot,kotlin,Mysql,REST,API,Back,end,AWS",1,"엔드,엔드유저,인프라,구축,개선안,아이디어,성장,논리적,체계적,문제해결,해결,능력,AWS",https://www.wanted.co.kr/wd/207326,dayoff.co.kr/,
156,브로즈,시스템 소프트웨어 개발 및 공급업,8.0,2022.0,중소기업,0.0,경기도 성남시 수정구,소프트웨어 엔지니어,"4년제학사,졸업이상,포트폴리오,주소,메일,React,git",0,"파이프라인,파악,자기주도적,주도적,스타트업,Front,end,Back,end API,Front,end,React",https://www.wanted.co.kr/wd/203702,favapp.co.kr,
157,모요,응용 소프트웨어 개발 및 공급업,783.0,2021.0,대기업,89466.0,서울특별시 강남구,소프트웨어 엔지니어,"웹개발경험,워크사용,주도적,데이터,개선,동료,파트너,디스커션,React,Vue,Angular,SPA",3,"웹,성능,프레임워크,정적,타이핑,툴,패턴,웹뷰,대응,SEO,Next,js,SSR,Typescript,Flow,Javascript,Redux",https://www.wanted.co.kr/wd/102883,www.moyoplan.com,
158,어베어,응용 소프트웨어 개발 및 공급업,,2021.0,,120736.0,서울특별시 강남구,소프트웨어 엔지니어,"백엔드실무경험,서비스운영경험,이해수준,데이터베이스,트래픽,안정적,논리적,비판적,비판적사고,사고,개발문서,기술디자인,디자인,능동적,Kotlin,Java,Spring,Python,AWS,RDBMS,NoSQL,API,TechnicalWriting,Language,Kotlin,Java,Python,Framework,Spring,Django,Data,MySQL,CI,CD,Jenkins,Infra,AWS,EB,ECS,S,ElasticCache,SQS,WAF",3,"성장,스케일,스케일업,대용량,데이터,배치,젠,젠킨스,킨스,깃헙,액션,파이프라인,구축,트래픽,성능,Microservices,Kubernetes,CI,CD,Cache,MQ,NoSQL",https://www.wanted.co.kr/wd/139067,windly.cc,
159,토스플레이스,사무용 기계 및 장비 제조업,,2022.0,,,서울특별시 강남구,소프트웨어 엔지니어,"확장,확장가능,고가용성,대규모,실시간트래픽,트래픽,레이어,트러블,트러블슈팅,슈팅,성능,성능튜닝경험,튜닝,발전,인프라,인프라환경,Java,Kotlin,SpringFramework,Redis,Kafka,ELK,SpringFramework,JVM,OS,Network",1,"플랫폼,라이브러리,이유,고가용성,확장,실시간,트래픽,처리,트러블슈팅,성능,성능개선,구체적,토스플레이스,Kotlin,Java,Gradle,Netty,Spring Mvc,Spring Webflux,Spring Boot,Spring Cloud Gateway,Spring Cloud Config,JPA,Hibernate,MySQL,MongoDB,Hadoop,Redis,Memcached,Zookeeper,Kubernetes,Istio,Haproxy,Nginx,GoCD,ArgoCD,Consul,Vault,Git,Docker,Spinnaker,Jenkins,Ceph,Harbor,Kafka,ELK,Prometheus,Thanos,influxData,Grafana",https://www.wanted.co.kr/wd/204055,tossplace.com,
160,룩코,포털 및 기타 인터넷 정보매개 서비스업,,2020.0,소기업,1000.0,대전광역시 서구,소프트웨어 엔지니어,"컴퓨터공학전공자,전공지식,경험보유자,현업,현업개발경력1,모바일앱개발,디자인,디자인팀,타부서와의업무,상태관리,관리,레거시,코어,코어기술,서버기술,프레임워크,협업도구,ReactNative,Vite,TypeScript,Jotai,ReactQuery,Zustand,RNReanimated,ReactNativeSkia,CanvasKit,Serverless,AWSLambda,CI,CD,GitHubActions,AWSAmplify,Jira,Notion,Figma,Slack,Github,Storybook,Sentry",1,"해결,개발자",https://www.wanted.co.kr/wd/104151,www.acloset.app/home,
161,펄송,그 외 기타 달리 분류되지 않은 제품 제조업,18.0,2017.0,중소기업,86807.0,대전광역시 서구,소프트웨어 엔지니어,"최적화,최적화경험,Node,js,nest,js,TypeScript,RDBMS,MySQL,SQL,AWSEC,RDS,S",2,"실시간,서버,모니터링,대응,배포,적극적,문제점,수정,성장,자동화,구축,구축경험,트래픽,처리,함수,비지니스,전문가,지식,공개적,앱,개발자,기획자,디자이너,제품팀,협업,AWS,CI,CD,Docker",https://www.wanted.co.kr/wd/194908,www.purrsong.com,
162,포스타입,포털 및 기타 인터넷 정보매개 서비스업,,2016.0,,295334.0,서울특별시 강남구,소프트웨어 엔지니어,"경력무관,책임감,생각",0,"스타트업,린스,트업,프론트,프론트엔드,엔드,반응형,디자인,프로세스,포스타입,도전,정의,해결,엔지니어,손코딩,코딩,MVP,PDF,ex",https://www.wanted.co.kr/wd/166972,www.postype.com,
163,딥바이오,응용 소프트웨어 개발 및 공급업,47.0,2015.0,중소기업,4137.0,서울특별시 구로구,소프트웨어 엔지니어,"프레임워크사용,이해도,상태관리,관리,라이브러리,애플리케이션,테스팅라이브러리사용,스팅,프론트,JavaScript,ES,Typescript,React,Vue,Angular,SPA,Jest,Cypress,Selenium",3,"소프트웨어,정보기술,학사,학위,역량,주도적,분석,솔루션,방법론,팀간의,협업,지식,Agile,Scrum,Modern web technology,Canvas rendering,WebAssembly,WebGL,WebGPU",https://www.wanted.co.kr/wd/150278,www.deepbio.co.kr,
164,버즈빌,광고매체 판매업,117.0,2012.0,중소기업,6909875.0,서울특별시 송파구,소프트웨어 엔지니어,"패턴,디자인,자료,자료구조",3,"헥사고날,아키텍처,소프트웨어,마이크로,마이크로서비스,도메인,대용량,트래픽,처리,MySQL,DynamoDB,Redis,Elasticsearch,AWS,Kubernetes,cloud native,Kafka",https://www.wanted.co.kr/wd/201981,www.buzzvil.com,
165,와들,응용 소프트웨어 개발 및 공급업,5.0,2019.0,소기업,19205.0,대전광역시 중구,소프트웨어 엔지니어,"자료,자료구조,알고리즘,데이터베이스,네트워크,분산,분산처리,기초지식,아키텍처,아키텍처개발경험,기여,팀워크,협업중심,개발문화,Python,ML",1,"파이프라인,구축,최적화,프레임워크,컨테이너,모델,서빙,AWS Sagemaker,MLOps,Kubeflow,MLflow,Kubernetes,ECS,ML,LLM Ops,Prompt Engineering",https://www.wanted.co.kr/wd/187941,www.waddlelab.com,
166,온블록,응용 소프트웨어 개발 및 공급업,,2022.0,,,서울특별시 강남구,소프트웨어 엔지니어,"상태관리경험,관리,생각,최적화,유저입장,호기심,React,HTML,CSS,JavaScript,Typescript,Redux,MobX,UI,UX",3,"툴,프론트,프론트엔드,엔드,모듈,프레임워크,블록,블록체인,체인,영어,커뮤니케이션,Jira,Webpack,ESBuild,E,E,unit testing,CI,CD,web,js,ether,js,Cosmos,Tendermint,Cosmos,SDK,CosmJS,NFT,DeFi",https://www.wanted.co.kr/wd/165290,onbloc.xyz,
167,커넥팅더닷츠,그 외 기타 비거주 복지 서비스업,,2016.0,,,서울특별시 강남구,소프트웨어 엔지니어,"프로젝트,프로젝트경력3년,개발역량,개인프로젝트,학교,학원,학원교육기간,교육,모델,모델링,앱서비스,서버개발,유관부서와의,Java,SpringFramework,RDBMS,MySQL,ERD,RestfulAPI,API,JPA",3,"구축,대용량,트래픽,처리,AWS,Kafka MQ,MicroService Architecture",https://www.wanted.co.kr/wd/187772,tictoccroc.com,
168,이큐브랩,그 외 기타 특수목적용 기계 제조업,62.0,2011.0,중소기업,187161.0,서울특별시 구로구,소프트웨어 엔지니어,"사용경험보유,웹서비스개발경험,지식보유,계열터미널환경,터미널,소통능력보유,급여조건,수습,수습기간2개월,면접후협의,React,Node,js,UNIX,macOS,Linux,Git",0,"데이터,시각화,프로젝트,서버,시계열,데이터베이스,성능,D,js,visx,Chart,DDD,TDD,BDD,Unit Test,Interaction Test,Visual Regression Test,Integration Test,E,E Test,ReactiveX,NB,IoT,LoRaWAN",https://www.wanted.co.kr/wd/114365,www.ecubelabs.com,
169,카카오스타일,전자상거래 도매업,,2012.0,,10184032.0,서울특별시 강남구,소프트웨어 엔지니어,"경력5년이상,데이터베이스,한시스템개발,마이크로,마이크로서비스,키텍,팀간,주도적,스플랫폼,관련도메인,도메인,Java,Kotlin,RDBMS,MSA,Crossdomain,JPA,ORM,Object,RelationalMapping",5,"대용량,트래픽,처리,클라우드,AWS",https://www.wanted.co.kr/wd/200800,www.kakaostyle.com,
170,월급쟁이부자들,온라인 교육 학원,,2018.0,중소기업,2399393.0,서울특별시 서초구,소프트웨어 엔지니어,"운영경험2년,웹서비스개발,이해도,유지,보수,확장,확장가능,코드설계,스스로학습,긍정적,책임감,긍정적사고,사고,Springboot,Java,Kotlin,DB",2,"머스,플랫폼,웹,프로세스,주도적,대용량,실시간,애플리케이션,키텍,역량,인프라,AWS",https://www.wanted.co.kr/wd/202034,www.weolbu.com,
171,플레져,응용 소프트웨어 개발 및 공급업,,2021.0,소기업,9707.0,서울특별시 서초구,소프트웨어 엔지니어,"공학계열전공자,통계학,워크활용,개발경력3년,데이터,모델,모델링,모델링설계,클라우드,클라우드기반,서비스운영경험,형상관리,관리,협업도구사용경험,Backend,Java,SpringBoot,JPA,RestfulAPI,SQL,AWS,Git,Jira",3,"아키텍처,대용량,트래픽,처리,메시지,머신러닝,딥러닝,프로세스,프로그램,이미지,텍스트,알고리즘,트렌드,지식,개선점,선점,목표,MSA,kafka,Back,end,AI,Ownership",https://www.wanted.co.kr/wd/199655,pleisure.co,
172,딥바이오,응용 소프트웨어 개발 및 공급업,47.0,2015.0,중소기업,4137.0,서울특별시 구로구,소프트웨어 엔지니어,"프로그래밍언어,소프트웨어,백엔드,러닝모델서빙,모델,서빙,클라우드,클라우드컴퓨팅솔루션,트래픽,트래픽분산경험,분산,마이크로,아키텍처,마이크로서비스,컨테이너화기술,서비스운영경험,이해관계자,관계자,엔지니어,엔지니어링,엔지니어링역량,TypeScript,Python,RESTfulAPI,AWS,GCP,OrchestrationTool,CI,CD,DevOps,Linux,Docker,Kubernetes,AI",3,"소프트웨어,정보기술,학사,학위,서버,탐지,해결,부하,성능,역량,방법론,팀간의,협업,Rust,Monitoring,Logging,Alert,Stress Test,Agile,Scrum,Tech stack,tool,TypeScript,Python,gRPC,AWS,GCP,Terraform,Docker,PostgreSQL,RabbitMQ,GitHub,GitHub Actions",https://www.wanted.co.kr/wd/198091,www.deepbio.co.kr,
173,닥커넥트,시스템 소프트웨어 개발 및 공급업,,2022.0,,,인천광역시 연수구,소프트웨어 엔지니어,"반응형,웹개발경험,프레임워크사용경험,상태관리라이브러리사용,관리,라이브러리,연동경험,주도적,문제해결능력보유,Vue,React,NuxtJs,NextJs,Third,partyAPI",0,"앱,스토어,배포,팀원,협업,채팅,영상,영상통화,통화,스터디,웹,Notion,Figma,WebSocket,WebRTC",https://www.wanted.co.kr/wd/203321,www.docconnect.co.kr,
174,세이프에이아이,응용 소프트웨어 개발 및 공급업,,2023.0,,,서울특별시 강남구,소프트웨어 엔지니어,"공부,최신트렌드,트렌드,최신논문,논문,직면,집념,영상,음원분석알고리즘,분석,알고리즘,기초지식,러닝모델,모델,Objectdetection,Anomalydetection,Peoplecounting,MachineLearning,Pytorch,Tensorflow",3,"인공지능,학위,모델,최적화,경량,하드웨어,배포,학습,파이프라인,구축,정부,학회,도전,의욕,클라우드,웹,웹서비스,Inference system,ML,R,D,AWS,GCP,Azure,Server side",https://www.wanted.co.kr/wd/202163,www.safeai.kr,
175,디어유,소프트웨어 개발 및 공급업,95.0,2017.0,대기업,4919386.0,서울특별시 강남구,소프트웨어 엔지니어,"기반개발실무경력,정보,정보통신,통신,전기,전산,전산관련학사이상,정보처리기사자격증,기사,자격증,Java,RESTAPI,SpringBoot",2,"클라우드,경력자,웹,프레임워크,프로토,프로토콜,모바일,플리케이션,성능,튜닝,AWS,Python,Django,Flask,MySQL,NoSQL,Redis,Cassandra,Elasticsearch,MQTT,FCM,APNS",https://www.wanted.co.kr/wd/157875,www.dear-u.co,
176,얼리페이,응용 소프트웨어 개발 및 공급업,,2021.0,,6160.0,서울특별시 마포구,소프트웨어 엔지니어,"테크,프론트,프론트엔드개발,운영경험3년,상태관리도구사용,관리,반응형디자인,디자인,웹접근,웹표준,단순,목표,책임감,HTML,CSS,JavaScript,TypeScript,Redux,Recoil,UI",3,"프로젝트,사이클,구축,프론트,프론트엔드,엔드,유닛,유닛테스트,디자인,인프라,핀테크,테크,도메인,E,E,PWA,Progressive Web Apps,AWS,CI,CD",https://www.wanted.co.kr/wd/183103,earlypay.co.kr,
177,지엔에이컴퍼니,응용 소프트웨어 개발 및 공급업,23.0,2020.0,중소기업,211525.0,충청남도 아산시,소프트웨어 엔지니어,"실무개발경력자,프로토콜,헤더,캐시,웹소켓,동작과정,PythonRestAPI,Cloud,AWS,Azure,RDB,MySQL,MongoDB,Web,http",0,"프로세스,자료구조,네트워크,운영체제,알고리즘,라이브러리,유경험자,클린,클린코드,리팩토링,API,Python Pandas,Falcon,FastAPI,Swagger,OpenAPI,RESTful",https://www.wanted.co.kr/wd/193602,www.playio.kr,
178,벨루가브루어리,음료 소매업,,2017.0,중소기업,38010.0,서울특별시 마포구,소프트웨어 엔지니어,"트렌드,최신기술도입,적정기술,엔지니어,엔지니어링,프론트,프론트엔드개발경력,머스,오픈마켓,마켓,주문,주문중개특성,중개,특성,서버사이드렌더링,사이드,렌더링,처리경험,검색엔진최적화,엔진,최적화,ReactHook,SSR,SEO",2,"기획,디버깅,프로파일링,파일링,퍼포먼스,튜닝,성능,최적화,피드백,개선점,선점,CRM,ERP,B,B,CI,CD",https://www.wanted.co.kr/wd/42610,veluga.kr,
179,토스플레이스,사무용 기계 및 장비 제조업,,2022.0,,,서울특별시 강남구,소프트웨어 엔지니어,"프레임워크사용,발견,분석,주도적,정적,정적타입분석,타입,React,Vue,Angular,SPA,TypeScript,Flow,JavaScript",1,"플랫폼,라이브러리,이유,고가용성,확장,실시간,트래픽,처리,트러블슈팅,성능,성능개선,구체적,토스플레이스,패키지,React,TypeScript,Next,js,React,Query,Recoil,Yarn Berry,Pnpm,Webpack,ESBuild,SWC,Babel,Jest,Vitest,CI,CD,GitHub Actions",https://www.wanted.co.kr/wd/207573,tossplace.com,
180,피클플러스,포털 및 기타 인터넷 정보매개 서비스업,,2020.0,,147970.0,서울특별시 중구,소프트웨어 엔지니어,"설계경험,통신,버전,버전관리시스템,관리,Django,MySQL,PostgreSQL,RDBMS,HTTP,RESTfulAPI,Git",2,"배포,자동화,구축,모니터링,탐지,해결,글로벌,플랫폼,국제화,AWS,ECS,EKS,Redis,MongoDB",https://www.wanted.co.kr/wd/172732,www.pickle.plus,
181,스쿨버스,응용 소프트웨어 개발 및 공급업,42.0,2018.0,중소기업,121399.0,서울특별시 강서구,소프트웨어 엔지니어,,0,"팀단위,사이클,모빌,모빌빌리티,빌리티,자료구조,알고리즘,머신러닝,호기심,O,O,TDD,AI",https://www.wanted.co.kr/wd/203740,safeschool.net,
182,카레딧,데이터베이스 및 온라인정보 제공업,,2022.0,,,서울특별시 서초구,소프트웨어 엔지니어,"안드로이드앱,개발운영경험,패턴,개념,앱성능최적화,성능,최적화,앱라이프사이클,라이프,사이클,레이,레이아웃,아웃,아키텍처,소프트웨어,디버깅,디버깅능력,Kotlin,MVVM,CleanArchitecture,UI",3,"비동기,동기,처리,처리개념,개념,안드로이드,블루투스,아키텍처,능력,디자이너,협업,앱,Coroutine,Flow,RX,BLE,PM",https://www.wanted.co.kr/wd/206061,www.caredit.net/,
183,알고케어,기타 가공식품 도매업,,2019.0,중소기업,5044.0,서울특별시 중구,소프트웨어 엔지니어,"프로덕션,프로덕션개발경험3,5년내외,상태관리라이브러리,관리,라이브러리,사용자경험,생각,동료,ReactNative,React,Query,Recoil,Jotai",3,"앱,성능,최적화,주도적,파이프라인,구축,컴포넌트,모듈,CI,CD,React Native Reanimated",https://www.wanted.co.kr/wd/207154,algocare.me,
184,시지온,데이터베이스 및 온라인정보 제공업,,2011.0,,151663.0,서울특별시 중구,소프트웨어 엔지니어,"프론트,프론트엔드,백엔드관련개발,경력2년이상,주니어,스택개발경력5,시니어,트래픽,클라우드,트래픽관리경험,관리,티브,티브개발,Go,NodeJS,Java,JavaScript,AWS",2,"타인,소스코드,대용량,웹,웹서비스,컨테이너,자동화,배포,모니터링,AWS,Docker",https://www.wanted.co.kr/wd/205506,cizion.com,
185,탈잉,포털 및 기타 인터넷 정보매개 서비스업,9.0,2016.0,중소기업,442277.0,서울특별시 성동구,소프트웨어 엔지니어,"이해도,React,js,Next,js,Nest,js,Javascript,TypeScript",1,"인프라,이벤트,아키텍처,패턴,백엔드,엔드,동향,탐구,성능,리소스,IaC,Infrastructure as Code,MSA,Micro,Service Architecture",https://www.wanted.co.kr/wd/184228,taling.me,
186,휴이노에임,의료기기 도매업,,2022.0,,8745.0,서울특별시 성동구,소프트웨어 엔지니어,"마이크로,아키텍처,아키텍처구성,마이크로서비스,기본개념,개념,활용경험,가상,컨테이너기술,퍼블릭,클라우드,프레임워크,종속,사고,동료,존중,비교,Kafka,Java,Python,TypeScript,Kafka,KafkaStreams,Java,Node,js,TypeScript,Linux,Docker,Kubernetes,GitHubActions,AWS,AzureCloud",3,"데이터,파이프라인,고가용성,확장성,보안,네트워크,서버,요소,컴퓨터공학,학사,기초,지식,클라우드,CI,CD,DevOps,MLOps,Kubernetes,H,W,Infra,CS,AWS",https://www.wanted.co.kr/wd/205060,www.huinnoaim.com,
187,로이드케이,그 외 기타 건축자재 도매업,20.0,2011.0,중소기업,830251.0,경기도 성남시 수정구,소프트웨어 엔지니어,"정보,정보기술,엔지니어,엔지니어링,소프트웨어,관련분야,학사학위,학위,소프트웨어개발경험0,웹개발기술,프로그래밍언어,숙련도,머신,머신러닝,관련기술,데이터베이스,데이터베이스관리,관리,버전,버전관리도구사용,분석적,분석적사고방식,사고,팀작업,작업,의사소통능력우수,포트폴리오,포트폴리오제출필수,HTML,CSS,JavaScript,React,Python,Java,C,AI,SQL,Git",0,"클라우드,컨테이너,스트레이션,레이션,영어,능통,능통자,통자,AWS,Azure,Google Cloud,Kubernetes,Docker",https://www.wanted.co.kr/wd/205407,lloydk.co.kr,
188,더블유클럽,응용 소프트웨어 개발 및 공급업,10.0,2021.0,중소기업,421616.0,서울특별시 강남구,소프트웨어 엔지니어,"개발경력자,코드퀄리티개선역량,퀄리티,개선,키텍,구축지식,활용테스트경험,소통능력,설명,개발코드,문서정리,정리,Node,js,TypeScript,Cypress",3,"트래픽,처리,능력,구축,파이프라인,Node,js,Typescript,MySQL,Nestjs,Graph DB,AWS,Docker,CI,CD",https://www.wanted.co.kr/wd/191446,wclub.co.kr,
189,크래프톤,유선 온라인 게임 소프트웨어 개발 및 공급업,1766.0,2007.0,중견기업,176777581.0,서울특별시 강남구,소프트웨어 엔지니어,"현업,프론트,알고리즘,자료,자료구조,동료,공유,최선,React,Typescript",4,"웹,런칭,라이브러리,처리,주도적,정의,해결,디자이너,협업,블록,블록체인,체인,입사지원서,포트폴리오,Redux,React Query,UI,UX,Next,js,SSR,Server,side rendering",https://www.wanted.co.kr/wd/187478,www.krafton.com,
190,누비랩,응용 소프트웨어 개발 및 공급업,,2018.0,,364798.0,인천광역시 서구,소프트웨어 엔지니어,"동료,현업,서버개발경험,클라우드,클라우드서비스,서비스구축,노력,Nest,js,Typescript,RESTAPI,GraphQL,MySQL,RDBMS,Contanier,AWS,Azure,GCP,CI,CD",3,"효율적,데이터,데이터베이스,성능,최적화,백엔드,엔드,아키텍처,프레임워크,라이브러리,구축,프로덕트,기획,배포,사이클,동료,누비랩,개발자,기술자,해결,디자이너,기획자,마음,집중,기술적,부분,주도적,돌파,자세,프로베이션,역량,엔지니어,도전적,주세,나열,프로세스,런스,포트폴리오,깃,깃허브,허브,형식,프로젝트,스펙,플랫폼,리더,Node,js,CI,CD,Python,FastAPI,Django,Flask,Node,js,Nest,js,Typescript,Javascript,TypeOrm,MySQL,mongoDB,Python,AWS,EKS,ECS,ECR,S,EC,RDS,RedShift,etc,Slack,Jira,G,Suite,Github,Docker,user side,Lesson learned,Nuvier,PDF,CEO,HR",https://www.wanted.co.kr/wd/182416,www.nuvi-labs.com,
191,핏펫,전자상거래 소매업,231.0,2017.0,중소기업,3002277.0,서울특별시 강남구,소프트웨어 엔지니어,"프론트,주도,주도적,일정관리,관리,책임감,HTML,CSS,TypeScript,React,SSR",5,"웹,규격,풀스택,장점,긍정적,적극적,커뮤니케이션,리더십,팔로,팔로워십,밸런스,HTML,CSS,W,C",https://www.wanted.co.kr/wd/172770,fitpet.co.kr,
192,가우스랩스,전기ㆍ전자공학 연구개발업,,2020.0,,145925.0,충청남도 천안시 서북구,소프트웨어 엔지니어,"Bachelor,sdegreeincomputerscience,engineering,orarelateddiscipline,GoodprogrammingskillswithPython,Java,C,orotherhigh,levellanguagesupportingobject,orientedprogramming",0,"Experiences with Pub,Sub,and,or Kafka,Experience with database schema design,Experiences with FastAPI,Experiences with Container,K,s,and,or cloud platform,Knowledge of MLOps pipeline and image processing,computer vision algorithms,Fluency in verbal and written English",https://www.wanted.co.kr/wd/205277,gausslabs.co.kr,
193,스트레스솔루션,시스템 소프트웨어 개발 및 공급업,5.0,2022.0,중소기업,17931.0,서울특별시 중구,소프트웨어 엔지니어,"개발경험자,주도적,App,Front,Flutter,Jaca,SaaS,HTML,Flutter,Javascript,UI,UX",1,"소스분석,분석,백앤드,앤드,협업,협업툴,툴,유경험자,플리케이션,플랫폼,데이터,AWS,Figma,Notion",https://www.wanted.co.kr/wd/202255,www.stresssolution.io,
194,버즈빌,광고매체 판매업,117.0,2012.0,중소기업,6909875.0,서울특별시 송파구,소프트웨어 엔지니어,"프로그래밍언어,해법,통신,통신모델,모델,대규모,트래픽,라이브,라이브서비스운영경험,미션,책임감,미션크리티,크리,안정적,한서비스운영환경,REST,gRPC,API",3,"헥사고날,아키텍처,소프트웨어,Go,Python,MySQL,DynamoDB,Redis,Elasticsearch,AWS,Kubernetes,cloud native,Kafka",https://www.wanted.co.kr/wd/177268,www.buzzvil.com,
