,기업명,업종분류,사원수,설립연도,기업형태,매출액,주소,직무,자격요건,직급,이용하는기술스택/우대사항,해당 페이지 URL,기업 홈페이지 URL
272,어반데이터랩,시스템 소프트웨어 개발 및 공급업,,2019.0,,81133.0,대전광역시 유성구,웹 개발자,"워크활용,개발경력4년,활용개발환경구성,중급,중급이상실력,플랫폼,플랫폼구축,프로젝트,Backend,Frontend,framework,Angular,Vue,React,SQL,SI,PL",4,"웹,웹서비스,프로세스,커뮤니케이션,능력,개발경험,Cloud,AWS,NCP,Python,django,flask",https://www.wanted.co.kr/wd/137522,www.urbandatalab.co.kr
273,체인앱시스,시스템 소프트웨어 개발 및 공급업,,2020.0,,144632.0,서울특별시 강남구,웹 개발자,"개발경력최소3,TypeScript,JavaScript,NestJS,Express",3,"블록,블록체인,체인,개발자,소통,문제,해결,Git,GitHub,Go,Q,Optional,Optional,Keplr",https://www.wanted.co.kr/wd/169095,chainapsis.com/
274,마켓디자이너스,온라인 교육 학원,80.0,2017.0,중소기업,896636.0,서울특별시 강남구,웹 개발자,"이해도,개발경력4년,웹뷰개발,디자인,컴포넌트,라이브러리,디자인시스템,정규직,6개월시용기간,정규직전환여부검토,전환,React,Next,js,Frontend,Typescript",4,"프레임워크,디자인,구축,탐구,웹,웹최적화,최적화,성능,시용기간,구성원,조직문화,핵심가치,책임감,역량,진보,변화,도전,성장,목표,업계,전문,소통,다양성,추진력,외국어,글로벌,테크,플랫폼,크루,디지털,교육경험,혁신,REST API,SSR,StroyBook,Cypress,Playwright,E,E,Interview Process,Core Value,Accountability,Progress,Professionalism,Team work,Mission,Vision,Misson,Vision,AI",https://www.wanted.co.kr/wd/206333,marketdesigners.com
275,아인잡,포털 및 기타 인터넷 정보매개 서비스업,,2017.0,,3150.0,서울특별시 강남구,웹 개발자,"필수대졸이상,관련학과학사,개발경력7,개발경험5년,논리적,논리적설계,물리적,물리적설계,프로그램,결재,결재기능,플랫폼,상용서비스,서버운영경험3,Computer,Software,Java,platform,Dataarchitecture,API,framework,DB,logic,filtermatching,B,C,AWSRDS,Codecommit,Jenkis,CI,CD,ECS",7,"신규서비스,구축,ERD",https://www.wanted.co.kr/wd/186915,www.ainjob.com
276,투스카이,응용 소프트웨어 개발 및 공급업,,2012.0,,90011.0,서울특별시 성동구,웹 개발자,"개발경험자,웹서비스설계,모델링,모델링경험,사용과도메인,서버시스템,열정적,프로젝트,다수시스템,Spring,Springboot,JPA,Hibernate,ORM,RestfulAPI,AWS",5,"클라우드,인프라,구축,도메인,대용량,데이터,처리,대규모,트래픽,객체지향,숙달,성능,최적화,MSA,Microservice Architecture,CQRS,Command Query Responsibility Segregation,AWS,Kafka,Cognito,NoSQL,Application",https://www.wanted.co.kr/wd/197740,tosky.co.kr/
277,엠몬스타,전자상거래 소매업,,2017.0,,56711.0,경기도 성남시 수정구,웹 개발자,"클라우드,클라우드서비스,Laravel,PHP,Mysql,Redis,Docker,AWS,Azure,Git,Kafka",3,"머스,Kafka",https://www.wanted.co.kr/wd/177855,www.mmonstar.co.kr
278,큐리어슬리,데이터베이스 및 온라인정보 제공업,,2012.0,,524789.0,서울특별시 서초구,웹 개발자,"디자인,컴포넌트,리펙토,동작원리,백엔드개발자,대화,기반지식,모바일앱개발자,동일,통해서비스,동일한어플리,다양한도메인,단순,이슈,연차,비례,돌발,돌발적인상황,대처,난해,원인,포지션,이번채용,역할수행,일반적,통념,5년정도,판단,행위,몰두,탄생,고동,설득,효율적,주신,권한,평가,반영,React,React,TypeScript,React,NextJS,Recoil,pnpm,NxJS,MUI",5,"컴포넌트,워크스페이스,스페이스,멀티,멀티모듈,모듈,프로젝트,프론트,프론트엔드,엔드,배포,자동화,동영상,스트리밍,국어,구현경험,Storybook,pnpm,i,n",https://www.wanted.co.kr/wd/94069,https://www.airklass.com/
279,이노그리드,시스템 소프트웨어 개발 및 공급업,189.0,2006.0,중소기업,1415015.0,서울특별시 중구,웹 개발자,"경력개발자,이해도,기반서비스개발,배포경험,활용경험,PaaS,F,E,Front,endWeb,ES,ES,Javascript,React,PaaS,B,E,B,E,Golang,API,MySQL,MaraiaDB,RDBS",3,"솔루션,개발자,프로젝트,성능,최적화,퍼블리싱,내외,협업,소통,컨테이너,스트레이션,레이션,파이프라인,라인,구축,오픈소스,퍼블릭,쿠버,티스,PaaS,F,E,Webpack,Babel,Typescript,HTML,CSS,PaaS,B,E,Kubernetes,Openshift,CI,CD,Jenkins,Tekton,ArgoCD,Helm,Operator,Terraform,IaC,Kubernetes,ELK,Istio,EKS,GKS",https://www.wanted.co.kr/wd/200268,www.innogrid.com
280,딥세일즈,응용 소프트웨어 개발 및 공급업,14.0,2021.0,중소기업,68939.0,충청남도 아산시,웹 개발자,"스키마,검색서비스개발,최적화,운용,유지,유지관리,관리,서비스간의,트랜잭션,트랜잭션유지관리,클라우드,클라우드환경운영경험,RDBMS,DB,Node,jsBackend,AWS,MSA,Node,js,node,AWS,GCP,Hadoop,Spark",3,"프레임워크,보안,클린,아키텍처,프로젝트,컨테이너,배포,데이터,비즈니스,아키텍쳐,Spring,REST API,Python,Django,flask,backend,DDD,Kubernetes,Docker",https://www.wanted.co.kr/wd/204840,deepsales.co.kr
281,플랫브레드,데이터베이스 및 온라인정보 제공업,,2017.0,,129219.0,서울특별시 송파구,웹 개발자,"필수지식,테이블,테이블분석,분석,Java,SpringBoot,MyBatis,RDMS,MySql,Docker,Git,Jenkins",5,"대용량,데이터,집계,분석,분산,처리,컨테이너,스트레이션,레이션,광고,플랫폼,개별,보훈,보훈대상자,RDMS,NoSQL,Kubernetes or OpenShift,SSP,DSP,DMP",https://www.wanted.co.kr/wd/200084,www.platbread.com
282,발란,전자상거래 소매업,1.0,2015.0,중소기업,8913120.0,서울특별시 강남구,웹 개발자,"5년이상프론트,엔드서비스,프론트,프레임워크,서비스구축,웹포트폴리오제출,포트폴리오,프로젝트,참여율,참여율필수기재,발란몰,백엔드,백오피스,검색엔진,엔진,분석,코드관리,관리,서비스데스크,데스크,자체모니터링툴,Javascript,Typescript,React,Vue,js,SPA,SSR,Next,js,Nuxt,js,HTML,CSS,Javascript,plaincss,jquery,ejs,Node,js,MongoDB,Redis,MariaDB,AWSS,Node,js,Vue,js,Bootstrap,Vue,Nuxt,js,MongoDB,Redis,MariaDB,AWSS,Elasticsearch,GoogleAnalytics,Github,BitBucket,IDE,WebStorm,PHPStorm,IntellijIDEA,PyCharm,Tools,NoSQLBooster,Heidisql,Xshell,WinMerge,Medis,Postman,Slack,Notion,Confluence,Jira,CloudWatch,Opsnow",5,"마이그레이션,프론트,프론트엔드,엔드,구축,반응형,웹,유지보수,앱,유경험자,legacy,E,Commerce,Unit,Integration,E,E,CI,CD,or,Source Management System,Branch Strategy,OAS,OpenAPI Specification,php,node,js,hybrid,native",https://www.wanted.co.kr/wd/178548,www.balaan.co.kr
283,미트박스글로벌,육류 도매업,69.0,2014.0,중소기업,5521702.0,서울특별시 강남구,웹 개발자,"유관경력4년,기반개발경험,형상관리경험자,관리,JAVA,Springframework,JSP,MyBatis,Javascript,jquery,Web,WAS,Apache,Nginx,tomcat,SVN,Git",4,"라이브러리,플레이어,협업,능력,커뮤니케이션,적극적,문제,진단,혁신적,해결,Front,React,VueJS,E,commerce,RESTful,API,Spring Boot,JPA,QueryDSL,AWS,GCP,Cloud",https://www.wanted.co.kr/wd/189532,www.meatbox.co.kr
284,아파트아이,그 외 기타 분류 안된 금융업,2.0,2022.0,중소기업,16859.0,서울특별시 금천구,웹 개발자,"중급,중급이상,작성중급이상,건설,이해관계자,건설적인의사소통,관계자,필요경력,만10년,14년,차장급,JAVA,Spring,Javascript,JQuery,RDBMSQuery",10,"클라우드,PG,VAN,Net,OpenAPI",https://www.wanted.co.kr/wd/184569,www.apti.co.kr
285,메디팔,응용 소프트웨어 개발 및 공급업,,2020.0,,4650.0,부산광역시 해운대구,웹 개발자,"케이션개발경력,직접적,제품경력,커브,javascript,vue,js,HTML,CSS,vue,js,vue,js,react,typescript,vue,js",5,"웹,플리케이션,클라우드,환경내,성능,측정,유닛,Windows System API,AWS,Vue,js",https://www.wanted.co.kr/wd/187422,www.medipal.co.kr
286,아이헤이트플라잉버그스,온라인 교육 학원,457.0,2012.0,중소기업,1315544.0,서울특별시 영등포구,웹 개발자,"5년이상아래,엔드서비스개발경험,서버개발경험,운영해본분,디자이너,프론트,프론트엔드,협업능력,리눅스,유닉스,유닉스환경,클라우드,클라우드기반서비스운영,데이터베이스,데이터베이스시스템,설계능력,NodeJS,Python,Ruby,Java,Typescript,Git,Git,flow,GraphQL,API,DevOps,AWS,Azure,RDBMS,NoSQL",5,"프로젝트,데이터,파이프라인,라인,솔루션,백엔드,엔드,능력,서버,아키텍처,클린,도메인,공부,오픈소스,듀,듀테크,테크,스타트업,개발자,기획자,디자이너,협업,부채,효율적,토론,적극적,네이밍,성장,업계,프로세스,TDD,MSA,Spark,Kafka,DDD,DDD,Trouble Shooting",https://www.wanted.co.kr/wd/178253,www.mildang.kr
287,하이,정보통신업,743.0,2021.0,중견기업,55981354.0,서울특별시 성동구,웹 개발자,"프론트,라이브러리,라이브러리기반,상태관리,관리,전역,전역상태관리,이해도,라이브러리사용,ypeScript,React,Recoil,Redux,React,Query,DataFetching",4,"블록,블록체인,체인,컨트랙트,프론트,프론트엔드,엔드,유닛,실시간,구축,웹,성능,분석,최적화,부채,해결,리팩토링,피드백,커뮤니케이션,Next,js,WebSocket",https://www.wanted.co.kr/wd/92375,hi.com/ko
288,엠포스,광고대행업,237.0,2000.0,중소기업,2005269.0,서울특별시 서초구,웹 개발자,"내국인,경력3년이상",3,"머스,애드,애드테크,테크,도메인,주도적",https://www.wanted.co.kr/wd/183327,www.emforce.co.kr
289,엠몬스타,전자상거래 소매업,,2017.0,,56711.0,경기도 성남시 수정구,웹 개발자,"크로스,크로스브라우징,피그,피그마,디자인,디자인마크업,버전,버전관리,관리,vue,TypeScript,JavaScript,ES,SPA,SSR,CSR,SEO,RESTfulAPI,XD,DOM,CSS,SCSS,Git",3,"쇼핑물,구축,고도화,앱,클라우드,프로젝트,배포,ANDROID,KOTLIN,IOS,SWIFT,AWS,Azure,GITHUB ACTION",https://www.wanted.co.kr/wd/185928,www.mmonstar.co.kr
290,리코,"지정 외 폐기물 수집, 운반업",80.0,2018.0,중소기업,856143.0,충청남도 예산군,웹 개발자,"개발경력7,기반웹서비스개발,구조이해,개발역량,사용구조이해,전산,전산기초지식,자료,자료구조,알고리즘,의문,습관,배려,열정,도전,서비스개발,자세,Java,orKotlin,SpringBoot,SpringFramework,MySQL,MariaDB,RDBMSSchema,SQL,JPA,Hibernate,MyBatis,DB,RESTfulAPI,OS,OOP",7,"웹,런칭,라이브,마이그레이션,고성능,대용량,트래픽,서버,아키텍처,메시지,데이터,데이터처리,처리,유닛,스트레스,구축,배포,채용절차,오프라인,과제전형,기술조직,평판,평판조회,조회,처우협의,최종합류,기술과제,전달,주차별,차별,지연,양해,POC,MVP,Live,AWS Infra,Container,Docker",https://www.wanted.co.kr/wd/202030,recokr.com
291,에이치비엠피,포털 및 기타 인터넷 정보매개 서비스업,8.0,2014.0,중소기업,27847.0,제주특별자치도 제주시,웹 개발자,"클라우드,클라우드환경기반개발,능력보유자,영상,채팅,플랫폼,플랫폼개발,실무경력5년",5,"개발조직,비개발조직,의사소통,능력,WEP,APP,AWS",https://www.wanted.co.kr/wd/196291,hbmp.co.kr
292,크래프트테크놀로지스,응용 소프트웨어 개발 및 공급업,,2016.0,,199642.0,서울특별시 영등포구,웹 개발자,"상급,상급이상,이해도,효율,효율적인,중요성,코드작성,클린,품질,품질검증,검증,코드테스트,수정,완료,종류이상,리눅스,주요개념,개념,관리,유지,유지보수경험,보수,금융상품,상품,투자,트레이딩,Python,SWEngineering,numpy,pandas,QA,Resolve,CI,CDCycle,Git,Github,Gitlab,Relational,DocumentDB,No,SQL,DB,AWS",4,"자동화,직접,제약,주도적,기본기,데이터베이스,컴퓨터네트워크,네트워크,데이터,알고리즘,대용량,금융,금융데이터,수집,적재,전처리,모델링,수상,Algorithmic Trading,SW Architect,production,CS,OS,SW,Pipeline,DB Performance Tuning,SQL Tuning,Machine Learning,Deep Learning,Competition,Docker,K,S,DevOps,Kubeflow,MLflow,MLOps,Airflow,Flyte,DataOps",https://www.wanted.co.kr/wd/200270,www.qraftec.com
293,멘티스코,유선 온라인 게임 소프트웨어 개발 및 공급업,45.0,2017.0,중소기업,194214.0,서울특별시 강남구,웹 개발자,유관업무3년,3,"대치,대치동,2호선,선릉역,릉,주5일,19,시차,4대보험,티스,티스코,구성원,성장,정비,방문",https://www.wanted.co.kr/wd/109248,www.imantisco.com
294,딜랏,기타 통신 판매업,,2022.0,,0.0,서울특별시 강남구,웹 개발자,"백엔드개발경력,상용서비스,설계경험,JS,Ruby,Python,AWS,Azure,RDBMS,NoSQL,Cache,RESTfulAPI,GraphQL",2,"커뮤니케이션,능력,채용절차,포트폴리오,딜랏,서로,온라인,코딩,코딩테스트,처우협의,Git,or,Tea Time,Introduction Meeting,CEO,Casual Talk,CEO",https://www.wanted.co.kr/wd/193652,www.lightenfast.com
295,퀀팃,시스템 소프트웨어 개발 및 공급업,,2019.0,,183996.0,서울특별시 영등포구,웹 개발자,"개발경험포함3,모바일개발경험,이해도,키텍쳐에대한,디자인,인터페이스,반응형,신경,디테일,리뷰,리뷰경험,테스트코드,책임감,Flutter,UI,UX",5,"플랫폼,키텍,패턴,지식,금융,증권,웹,Android,iOS,MVVM,MVC,MVP,JavaScript,TypeScript,HTML,CSS,Agile",https://www.wanted.co.kr/wd/207291,quantit.io/
296,만나컴퍼니,그 외 기타 분류 안된 교육기관,,2020.0,,296588.0,서울특별시 구로구,웹 개발자,"웹프론트,프론트,자동화,테스트작성,자동화경험,패턴,디자인,프로젝트,프로젝트구조,서버사이드렌더링,사이드,렌더링,협업능력,RESTAPI,Web,ReactJS,TypeScript,Unit,E,E,SSR",5,"트래픽,처리,앱,웹,성능,최적화,React Native,AWS,UI,UX",https://www.wanted.co.kr/wd/188100,kfriday.net
297,발란,전자상거래 소매업,1.0,2015.0,중소기업,8913120.0,서울특별시 강남구,웹 개발자,"백엔드개발경험,서비스개발,대규모,핸들링,핸들링경험,대규모트래픽,트래픽,서의서비스설계,발란몰,프론트,백엔드,백오피스,검색엔진,엔진,분석,코드관리,관리,서비스데스크,데스크,자체모니터링툴,Node,js,E,Commerce,E,Commerce,Architecture,AWS,GCP,Kubernetes,Cloud,plaincss,jquery,ejs,Node,js,MongoDB,Redis,MariaDB,AWSS,Node,js,Vue,js,Bootstrap,Vue,Nuxt,js,MongoDB,Redis,MariaDB,AWSS,Elasticsearch,GoogleAnalytics,Github,BitBucket,IDE,WebStorm,PHPStorm,IntellijIDEA,PyCharm,Tools,NoSQLBooster,Heidisql,Xshell,WinMerge,Medis,Postman,Slack,Notion,Confluence,Jira,CloudWatch,Opsnow",5,"전공자,자료구조,네트워크,운영체제,알고리즘,모바일,웹,웹뷰,백엔드,엔드,구축,리딩,Typescript,E,Commerce,Unit,Integration,E,E,CI,CD,or,MSA,Source Management System,Branch Strategy,OAS,OpenAPI Specification",https://www.wanted.co.kr/wd/156443,www.balaan.co.kr
298,인터엑스,응용 소프트웨어 개발 및 공급업,11.0,2010.0,중소기업,132825.0,경기도 성남시 분당구,웹 개발자,"언어모델,모델,기반애플리케이션개발경험자,애플리케이션,서비스개발경험자,모델배포,서빙,모니터링경험자,설계경험자,주도적,책임감,정의,해결책,모델서빙프레임웍,LangChain,LLM,RESTfulAPI,AI,ML,MLOps,LLMOps,DB,LangChain,LlamaIndex,RESTAPI,FastAPI,Python,PyTorch,LLM,TorchServe,mlflow,RDB,PostgreSql,VectorDB,Pinecone,Redis,ElasticSearch,Linux,Git,Docker,Kubernetes",5,"모델,파이프라인,라인,프로덕트,비즈니스,효율적,데이터,신기술,호기심,성장,AI,ML,Llama,Generative AI,Cloud and Managed Services,Azure,API",https://www.wanted.co.kr/wd/207176,www.interxsoft.com
299,법틀,응용 소프트웨어 개발 및 공급업,16.0,2017.0,중소기업,155433.0,서울특별시 성동구,웹 개발자,"소프트웨어,소프트웨어개발자경력,공유,기반기술,웹서비스,Junior,Java,Vuejs,HTML,Javascript,Jquery,Python,PostgreSQL,MSSQL,Oracle,DB,legacy,API",5,"모델링,능력,프로세스,동료,커뮤니케이션,컨테이너,인프라,Refactoring,ORM,DB,Docker",https://www.wanted.co.kr/wd/166030,buptle.com
300,이엔티팩토리,공연 기획업,9.0,2005.0,중소기업,363988.0,서울특별시 강남구,웹 개발자,"7년경력,풀스택,프론트,프론트엔드,백엔드,풀스택개발프로젝트,프로젝트,수행경험,논리적,논리적사고,사고",4,"플랫폼,기획,사이클,역량,동영상,유튜브,지식,디자인,대용량,트래픽,디자이너,협업,협업역량,HTTP,Restful,API",https://www.wanted.co.kr/wd/184749,www.creatoroo.com
301,투스카이,응용 소프트웨어 개발 및 공급업,,2012.0,,90011.0,서울특별시 성동구,웹 개발자,"연령,연령무관",5,"정보처리기사,처리,기사,전공자",https://www.wanted.co.kr/wd/195293,tosky.co.kr/
302,탈로스,그 외 기타 의료용 기기 제조업,,2021.0,,0.0,서울특별시 강남구,웹 개발자,"운영경험1,테스트코드,자동화,스택업무경험필수,웹프론트엔드,프론트,기반백엔드,클라우드,클라우드환경,파이프,파이프라인,동료,디자이너,기획자,타역할,RestAPI,AWS,CI,CD",1,"이공,이공계열,계열,졸업자,스타트업,보안,지식,프론트,프론트엔드,엔드,백엔드,데이터,오너십,성장,애자일,자일,프로세스,스프린트,React,FastAPI,MVP",https://www.wanted.co.kr/wd/197910,www.talos.kr
303,엔비티,광고매체 판매업,77.0,2012.0,중소기업,10251976.0,서울특별시 서초구,웹 개발자,"프론트,프론트엔드개발실무,마크업,클라이언트,클라이언트개발경험,이해도,ES,JavaScript,TypeScript,HTML,SCSS,API,RESTfulAPI",6,"모바일,광고,리포팅,포팅,웹,비동기,동기,처리,AdTech,React,Vue,SPA",https://www.wanted.co.kr/wd/177102,www.nbt.com
304,엑스브레인,컴퓨터시스템 통합 자문 및 구축 서비스업,,2014.0,,34636.0,경상북도 포항시 남구,웹 개발자,"서비스개발실무3,애자일,스크럼,스크럼문화,Python,JS,TS,Django,FastAPI,Flask,Spring,HTTPAPI,React,Angular,Vue,WebFrontend",2,"이미지,프로세싱,데이터,분석,OpenCV,numpy,pandas",https://www.wanted.co.kr/wd/190641,www.xbrain.team
305,엠몬스타,전자상거래 소매업,,2017.0,,56711.0,경기도 성남시 수정구,웹 개발자,"클라우드,클라우드서비스,Python,Flask,FastApi,Django,Celery,Scrapy,RabbitMQ,ZMQ,Odin,Pydantic,GraphQL,Rest,Mysql,Redis,Docker,AWS,Azure,Git,Kafka",3,"머스,Kafka",https://www.wanted.co.kr/wd/196490,www.mmonstar.co.kr
306,투스카이,응용 소프트웨어 개발 및 공급업,,2012.0,,90011.0,서울특별시 성동구,웹 개발자,"개발경험자,웹개발경험,케이스,케이스작성경험,사용한테스트,디자인,반응형웹,열정적,프로젝트,다수시스템,TypeScript,React,HTML,CSS,React,ReactContext,Typescript,Jest",5,"하이브리드,앱,이티브,상호,상호작용,작용,반응형,웹,디자인,프로젝트,성능,최적화,객체지향,숙달,JavaScript,bridge,AWS,Application",https://www.wanted.co.kr/wd/197741,tosky.co.kr/
307,재담미디어,만화 출판업,,2013.0,,1876221.0,서울특별시 마포구,웹 개발자,"프로젝트,프로젝트개발경험,앱출시경험,출시,웹뷰,웹프로젝트,연동경험,상태관리패턴사용,관리,패턴,개념,ReactNative,PlayStore,AppStore,Redux,zustand,ReactComponentLifeCycle,ReactHook",5,"컴포넌트,협업,효율적,개발문화,기술도입,거부감,부천,부천지사,지사,웹,웹툰융합센터,툰,융합,Typescript,Javascript Style,REST API,UI,UX,Git,Jira",https://www.wanted.co.kr/wd/151881,www.jaedam.com
308,메디플러스솔루션,응용 소프트웨어 개발 및 공급업,,2012.0,,19630.0,서울특별시 성북구,웹 개발자,"최소5년이상,웹프론트,프론트,상용서비스런칭,디자인,백엔드개발,케이션가능,태그,미디어,디바이스,웹개발경험,디바이스대응,반응형,반응형웹,디자인가이드,가이드,B,C,HTML,CSS,Javascript",5,"8년,하이브리드,모바일,앱,웹,웹표준,보안,디자인,패턴,소프트웨어,엔지니어링,학사,SEO,OOP,MVVM,CS,CE",https://www.wanted.co.kr/wd/191883,www.medisolution.co.kr
309,펑타이그레이터차이나,광고대행업,659.0,2000.0,대기업,9410000.0,서울특별시 강남구,웹 개발자,"학사이상,경력7년이상,성실,책임감,프로젝트,글로벌,글로벌브랜드,브랜드,커뮤니케이션가능,이메일,작문,작문가능수준,해외출장가능,출장,PM,mobilenativeapplication",7,"프로젝트,mobile native application,JIRA Communication,AEM Authoring,PM",https://www.wanted.co.kr/wd/205140,www.pt-korea.com
310,아인잡,포털 및 기타 인터넷 정보매개 서비스업,,2017.0,,3150.0,서울특별시 강남구,웹 개발자,"플랫폼,플랫폼백,작업,전반적인,작업과정,이해도,관계형데이터베이스,데이터베이스,캐시,성능,형상관리툴,관리,협업툴,클라우드,클라우드운영환경경험,컨테이너기반,리소스,리소스운영,유연,팀웍,4년제학사,소프트웨어,소프트웨어공학과전공,ERD,Java,Springboot,jpa,security,test,Mysql,Redis,MongoDB,NoSQL,Github,Notion,Jira,Slack,AWS,CI,CD,k,s,ECS",4,"Python,Tensorflow,NLP,ML Library",https://www.wanted.co.kr/wd/185153,www.ainjob.com
311,인디제이,응용 소프트웨어 개발 및 공급업,8.0,2019.0,중소기업,73111.0,광주광역시 동구,웹 개발자,"백엔드개발경험,강타입언어,타입,베이스,베이스사용,설계경험,관계형데이터,데이터,Node,js,TypeScript,Java,MYSQL,MariaDB,PostgreSQL,SQL,JOIN,Subquery",1,"프레임워크,객체지향,프로그래밍,Jest,Mocha,ELK Stack,AWS",https://www.wanted.co.kr/wd/191134,indj.net
312,제이앤피메디,응용 소프트웨어 개발 및 공급업,12.0,2020.0,중소기업,87360.0,인천광역시 연수구,웹 개발자,"웹서비스개발경력,스타트업조직문화,설명,동작방식,주도적,웹서비스,한가지언어이상,FE,Framework,BE",0,"반응형웹,웹,대규모,주도적,임상,임상시험,도메인,지식,FE,UI,BE",https://www.wanted.co.kr/wd/169422,www.jnpmedi.com
313,팹,응용 소프트웨어 개발 및 공급업,,2022.0,대기업,,서울특별시 서초구,웹 개발자,"프론트,엔드개발경력5,협업도구사용,ReactJS,ReactNative,github,jira",5,"이전,개발자,케이스,패키지,제작,배포,관장,성능,비법,RN,RN,RN",https://www.wanted.co.kr/wd/136210,www.chicment.kr/
314,데이오프컴퍼니,응용 소프트웨어 개발 및 공급업,,2022.0,,0.0,서울특별시 강남구,웹 개발자,"서비스개발,형태서비스개발,관련경력8년,능동적,팀문화,HTML,React,Web,App",8,"엔드,엔드유저,인프라,구축,인공지능,개선안,아이디어,성장,논리적,체계적,문제,문제해결,해결,능력,AWS",https://www.wanted.co.kr/wd/188600,dayoff.co.kr/
315,마켓디자이너스,온라인 교육 학원,80.0,2017.0,중소기업,896636.0,서울특별시 강남구,웹 개발자,"이해도,개발경력4년,웹뷰개발,디자인,컴포넌트,라이브러리,디자인시스템,React,Next,js,Frontend,Typescript",1,"프레임워크,디자인,구축,탐구,웹,웹최적화,최적화,성능,시용기간,구성원,조직문화,핵심가치,책임감,역량,진보,변화,도전,성장,목표,업계,전문,소통,다양성,추진력,외국어,글로벌,테크,플랫폼,크루,디지털,교육경험,혁신,REST API,SSR,StroyBook,Cypress,Playwright,E,E,Interview Process,Core Value,Accountability,Progress,Professionalism,Team work,Mission,Vision,Misson,Vision,AI",https://www.wanted.co.kr/wd/178162,marketdesigners.com
316,더블유클럽,응용 소프트웨어 개발 및 공급업,10.0,2021.0,중소기업,421616.0,서울특별시 강남구,웹 개발자,"개발팀,리딩,리딩경험,데이터,데이터모델,모델,지식보유자,Node,js,TypeScript,Flutter,AWS",4,"웹,앱,백엔드,엔드,유경험자,스타트업,Node,js,Typescript,Nest,Next,React Native,React,Redis,Kafka,MSA,IT",https://www.wanted.co.kr/wd/191442,wclub.co.kr
317,소셜인프라테크,컴퓨터시스템 통합 자문 및 구축 서비스업,,2019.0,,252509.0,대구광역시 수성구,웹 개발자,"백엔드경력2,네트워크,클라우드,클라우드기반,서버개발환경,동료,생각,정의,불명확,Node,js,Typescript,Python,RESTAPI,RPC,AWS,Linux",2,"학습,대용량,데이터,처리,트래픽,마이크로,마이크로서비스,키텍,테이블,블록,블록체인,체인,지식,동료,성장,NoSQL,RDS",https://www.wanted.co.kr/wd/155905,www.socialinfratech.com/
318,멜로우컴퍼니,시스템 소프트웨어 개발 및 공급업,,2020.0,,1600.0,경기도 용인시 수지구,웹 개발자,"자발적,능동적,PHP,Laravel,HTML,CSS,Javascript,MariaDB,MySQL,DB",3,"기획자,디자이너,동료,개발자,커뮤니케이션,협업,소스코드,형상,형상관리,웹,웹에이전시,에이,전시,Git,AWS",https://www.wanted.co.kr/wd/190945,www.subhub.ai/
319,큐픽스,컴퓨터 프로그래밍 서비스업,59.0,2015.0,중소기업,280419.0,경기도 성남시 분당구,웹 개발자,"학사학위이상,학위,2년이상경력자,전문,전문연구요원,연구,병역,병역특례,특례,전직가능,능통,이해도,경력직,관련경험,전산,컴퓨터과학,석사,석사학위,컴퓨터공학관련,Javascript,Typescript,Python,C,DGraphics,RESTAPI,Websocket",2,"리팩토링,주도적,프로덕션,배포,알고리즘,성능,속도,메모리,논리적,안정적,BIM",https://www.wanted.co.kr/wd/198949,www.cupix.com
320,브이피피랩,응용 소프트웨어 개발 및 공급업,,2021.0,,50736.0,제주특별자치도 제주시,웹 개발자,"5년이상경력,라이브러리,활용개발경험,연동개발경험자,버전,버전관리,관리,FrontEnd,React,Vue,Next,ES,HTML,CSS,RESTFulAPI,RestfulAPI,FrontEndCI,CD,Git,Github",5,"프로젝트,리딩,리더,데이터,재생에너지,에너지,전력,전력시장,스타트업,정보통신,자격증,Design,UI framework,Library,B,C,B,B",https://www.wanted.co.kr/wd/191458,www.vpplab.kr
321,발란,전자상거래 소매업,1.0,2015.0,중소기업,8913120.0,서울특별시 강남구,웹 개발자,"머스,머스업계,백엔드개발,관리,관리경험,테이블,테이블설계,인덱스,리튜닝,튜닝,백업,복구,기본관리능력,기본명령어,명령어,스크립트,연동경험,서비스개발경험,화면개발경험,템플,템플릿,Node,js,Node,js,x,x,pm,AWS,ec,s,cloudfront,rds,MySQLDB,MongoDB,Git,Linux,API,RESTful,HTML,CSS,JS,Bootstrap",5,"프로토콜,헤더,캐시,웹,웹소켓,소켓,대량,분산,분산처리,처리,레플리카,대응,흐름,흐름제어,제어,쇼핑몰,솔루션,디비,운영경험,컴퓨터공학,전공자,자료구조,네트워크,운영체제,알고리즘,대용량,트래픽,성능,최적화,Web,http,proxy,Network,tcp,geoip,firewall,dns,vpn,vpc,MySQL DB,MongoDB,Aggregate,ReplSet,ElasticSearch,Linux,Web Server,scale out,Queue,bulk,E,Commerce,Secure Coding",https://www.wanted.co.kr/wd/165486,www.balaan.co.kr
